Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бабʼяк,Лариса,Варфоломіївна,Жіноча,1997-09-10,Конструктор,селище Володимир-Волинський,"шосе Трудових резервів, буд. 4, Марганець , 48333",084 843 46 30,klysenko@example.org
Іваничук,Маруся,Григоріївна,Жіноча,1987-10-16,Співак,місто Червоносів,"набережна Панченка, буд. 681 кв. 288, Вільнянськ, 52672",043 637-69-40,sviatoslavaprymachenko@example.org
Микитюк,Василина,Федорівна,Жіноча,1971-06-01,Фізик,селище Токмак,"сквер Кільовий, буд. 07, Хирів, 20974",080 937 83 57,avramchukodarka@example.net
Верес,Галина,Венедиктівна,Жіноча,2008-06-15,Акушер,село Берегове,"провулок Шевченка парк, буд. 547 кв. 677, Сокиряни, 82572",491 25 05,stefankorsun@example.com
Величко,Соломія,Францівна,Жіноча,1959-03-16,Гінеколог,хутір Сіверськ,"набережна Кримська, буд. 176 кв. 62, Бобровиця, 45330",685-14-75,hennadii00@example.net
Таран,Марʼяна,Святославівна,Жіноча,2005-03-15,Продюсер,селище Кальміуське,"сквер Гаршина, буд. 3 кв. 415, Середина-Буда, 35983",063 144-06-68,sviatoslaviashchenko@example.com
Лемешко,Михайлина,Тарасівна,Жіноча,1973-04-11,Архітектор,село Харків,"узвіз Кропивницького, буд. 141 кв. 6, Старий Самбір, 89240",056-10-69,frankovitalii@example.net
Василашко,Анастасія,Ааронівна,Жіноча,1965-07-06,Підприємець,село Стрий,"шосе Махачкалинська, буд. 71, Теребовля, 25298",+380 19 384-61-18,rhavryliuk@example.org
Швайка,Амалія,Августинівна,Жіноча,1998-02-12,Диригент,хутір Узин,"узвіз Панаса Мирного, буд. 73, Ірміно, 60495",317-79-51,hresviacheslav@example.com
Вернигора,Олена,Леопольдівна,Жіноча,1983-06-16,Фізик,село Козятин,"парк Пассіонарії, буд. 919, Львів, 45268",+380 92 820 77 96,khrystenkoboryslav@example.net
Джус,Ірина,Віталіївна,Жіноча,1941-01-15,Перекладач,хутір Ізюм,"вулиця Хвойний, буд. 587, Оріхів, 53622",+380 48 006 99 02,volodymyrderhach@example.net
Рябовіл,Оксана,Богданівна,Жіноча,1943-06-04,Клоун,хутір Хмельницький,"парк Савицький, буд. 937 кв. 7, Красногорівка, 48873",+380 41 709-61-77,pbalaban@example.net
Бабариченко,Ада,Амвросійовна,Жіноча,1996-11-09,Стиліст,селище Вишневе ,"вулиця Ванцетті, буд. 26 кв. 6, Василівка , 10888",+380 11 703-61-27,vasylechkoiustyna@example.com
Колесниченко,Одарка,Захарівна,Жіноча,1950-05-03,Лікар,хутір Південне ,"узвіз Яші Гордієнка, буд. 8 кв. 3, Хотин, 40983",083 846 31 34,sirkonazar@example.org
Оліфіренко,Марина,Георгіївна,Жіноча,1984-07-18,Астрофізик,село Бобринець,"шосе Кифоренка Бориса, буд. 0, Коростень, 09431",+380 47 827-69-69,myroslav10@example.org
Бевз,Марина,Семенівна,Жіноча,1984-07-31,Круп'є,місто Кам'янське,"шосе Полтавська, буд. 4 кв. 4, Нова Одеса, 17754",+380 87 858-57-94,shevchenkotrokhym@example.net
Свистун,Орися,Степанівна,Жіноча,1946-05-17,Ботанік,хутір Вашківці,"узвіз Князівська, буд. 6, Почаїв, 28689",072 568-33-14,abramchukvasylyna@example.com
Перепелиця,Ада,Остапівна,Жіноча,1949-01-31,Музичний редактор,місто Нова Каховка,"проспект Дзвінка, буд. 842, Роздільна, 09714",093 810-89-50,leontiikhrystych@example.net
Атаманюк,Едита,Михайлівна,Жіноча,1981-08-03,Штукатур,хутір Кадіївка,"набережна Нафтовиків 3-й, буд. 50, Кам'янка-Бузька, 89694",+380 46 943-18-77,kybkaloievhen@example.org
Вдовенко,Ярослава,Аркадіївна,Жіноча,1983-08-25,Кухар,місто Алмазна,"парк Псковський, буд. 12 кв. 1, Ічня, 59875",022 800-68-66,romanchukliubov@example.net
Чередник,Христина,Леопольдівна,Жіноча,1953-05-24,Біолог,місто Іршава,"провулок Лиманчик 2-й Лінія 8-ма, буд. 8, Устилуг, 28414",096 266-32-77,shelestaaron@example.org
Гайдай,Альбіна,Азарівна,Жіноча,1963-05-03,Підприємець,селище Червоноград,"вулиця Перший Кришталевий, буд. 34 кв. 292, Перевальськ, 98394",+380 24 613-38-29,iaroslava62@example.net
Непорожній,Людмила,Аврелійовна,Жіноча,1963-08-01,Продюсер,село Ялта,"узвіз Градоначальницька, буд. 68, Снігурівка, 22205",+380 62 958 81 00,batihlarysa@example.org
Туркало,Світлана,Миколаївна,Жіноча,1995-10-27,Програміст,хутір Славута,"провулок Світла, буд. 2, Богуслав, 37086",883 23 47,marusia54@example.org
Луценко,Богданна,Захарівна,Жіноча,2000-05-12,Бібліотекар,місто Полонне,"площа 13-та Суворовська, буд. 17, Торецьк, 81489",+380 (34) 701-05-26,ababak@example.net
Деряжна,Марина,Валентинівна,Жіноча,1953-05-25,Астронавт,хутір Заліщики,"набережна Авангардна, буд. 685, Вуглегірськ, 14378",+380 46 360-24-87,trokhym28@example.org
Конопля,Альбіна,Вікторівна,Жіноча,1946-12-29,Слідчий,місто Севастополь,"провулок Новгородська, буд. 9, Городок, 36996",978-98-72,heorhii12@example.com
Чміль,Світлана,Олександрівна,Жіноча,1952-03-23,Візажист,місто Перевальськ,"проспект Пересипська 8-ма, буд. 860, Ірпінь, 14544",020 269-28-87,orkhypgerus@example.net
Артюх,Вікторія,Йосипівна,Жіноча,1939-08-05,Кушнір,місто Калуш,"сквер Митракова, буд. 99, Біла Церква, 26287",+380 03 105 87 74,yriaboshapka@example.net
Москаль,Ганна,Єлисеївна,Жіноча,1941-12-16,Реставратор,село Володимир-Волинський,"узвіз Ямська, буд. 9, Алушта, 10083",056 803 79 77,spas81@example.com
Слюсар,Світлана,Костянтинівна,Жіноча,1942-09-29,Дипломат,селище Долина ,"сквер Стороженка Олега, буд. 3, Снятин, 24478",112 96 08,jandriievych@example.org
Єрошенко,Анжела,Зорянівна,Жіноча,1947-06-25,Маркетолог,селище Жашків,"вулиця Бахчева, буд. 38, Шумськ, 80840",+380 53 993 11 21,emiliia27@example.org
Демʼянчук,Аліна,Францівна,Жіноча,1950-09-18,Реставратор,селище Львів,"вулиця Михайлівська, буд. 798 кв. 209, Тячів, 39568",843 01 37,trokhym88@example.com
Ярош,Клавдія,Павлівна,Жіноча,1986-04-28,Перекладач,місто Бахмач,"узвіз Пересипська 6-та, буд. 1, Голубівка, 59593",066 256-12-55,gandriichuk@example.org
Стус,Ярослава,Азарівна,Жіноча,1968-10-25,Паблік рилейшнз,село Ічня,"сквер Аркадійська, буд. 26, Узин, 89802",019 750 84 02,iaremchuksviatoslav@example.net
Кальченко,Христина,Микитівна,Жіноча,1987-04-24,Астрофізик,місто Моршин,"набережна Теплична, буд. 90, Зборів, 97761",020 973-75-76,snizhanabevz@example.org
Верховинець,Оксана,Варфоломіївна,Жіноча,1947-09-17,Мікробіолог,село Миколаївка ,"шосе 8-ма Суворовська, буд. 46, Кролевець, 25228",079 188-80-94,illia16@example.org
Дуплій,Ганна,Васильівна,Жіноча,1974-06-11,Електромонтер,село Євпаторія,"сквер Пересипська 6-та, буд. 9, Сніжне, 81117",084 827-92-11,utychyna@example.com
Чарниш,Аліна,Леонідівна,Жіноча,1960-02-22,Художник,місто Харцизьк,"парк Китобійна, буд. 564, Калинівка , 85275",+380 74 736-85-86,vadym55@example.com
Тягнибок,Ірина,Олегівна,Жіноча,1969-01-12,Біолог,селище Миколаївка ,"вулиця Пресича Олександра, буд. 65, Харцизьк, 88414",+380 (13) 553-82-12,maksym97@example.org
Зайченко,Лілія,Павлівна,Жіноча,1952-07-15,Головний меркшейдер,село Березань ,"набережна Планетна, буд. 06, Курахове, 78801",068 527 30 27,lustenko@example.net
Харченко,Валентина,Семенівна,Жіноча,1985-03-04,Реабілітолог,село Вугледар,"провулок 21-й км Старокиївської дороги, буд. 456, Голубівка, 56469",+380 (16) 097-82-65,faleksiuk@example.org
